country,2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,22.8
Angola,,,,,,39.6
Albania,73,,85,87.5,97.3,102
Netherlands Antilles,472,400,445,,,1210
United Arab Emirates,,,,,,313
Argentina,,,,,,314
Armenia,,,,,,105
Australia,,644,653,671,,653
Austria,588,595,599,,552,557
Azerbaijan,58,61,66,61,,
Burundi,,,,,,5.67
Belgium,526,524,529,,535,539
Benin,,,,,,20.6
Burkina Faso,,,,,,10.8
Bangladesh,,,,,2.05,2.26
Bulgaria,325,338,360,,,295
Bahrain,382,383,,,,482
Bahamas,,,,,,81.7
Bosnia and Herzegovina,,,,,,170
Belarus,,,,,,282
Belize,155,162,,,,178
Bolivia,,45,49,,,68.4
Brazil,,164,170,,,198
Barbados,337,377,375,,,406
Brunei,,,,,,696
Bhutan,17,,,,,38.3
Botswana,85,96,105,113,,114
Central African Republic,,,,,,0.295
Canada,582,582,,,,597
Switzerland,550,554,559,563,564,569
Chile,135,135,,150,157,164
China,13,15,21,24,28.1,32.2
"Congo, Dem. Rep.",,,,,,5
"Congo, Rep.",,,,,,25.8
Colombia,,,,59,,65.6
Comoros,,,,,,33.5
Cape Verde,,,,,,94
Costa Rica,146,190,198,,,152
Cuba,,,,,,38
Cyprus,506,521,553,742,,622
Czech Republic,394,,,,,470
Germany,576,576,580,585,598,623
Denmark,424,,430,437,,466
Dominican Republic,111,105,110,115,,123
Algeria,,88,89,91,,
Ecuador,,54,55,61,66.4,63.1
Eritrea,,,,,,11.3
Spain,559,550,,,,601
Estonia,358,427,459,477,,444
Ethiopia,2,2,,,,3
Finland,,497,515,531,542,559
Fiji,,,,,,173
France,593,594,595,596,598,601
"Micronesia, Fed. Sts.",,,,,,36.5
United Kingdom,505,496,510,517,,527
Georgia,70,71,,,,116
Ghana,19,21,,,17.9,33
Gambia,8,8,7,,,7.28
Guinea-Bissau,1,,,,,32.9
Greece,435,453,476,497,522,112
Guatemala,,,,,,117
Guyana,,,,,,95.4
"Hong Kong, China",,72,72,,70.4,72.4
Honduras,,,,,,96.9
Croatia,313,356,337,349,366,377
Hungary,300,316,,,374,384
Indonesia,109,,,,,75.8
India,11,12,,,,
Ireland,436,447,,,,537
Iran,,,,,,15.6
Iceland,638,656,685,724,,774
Israel,286,285,288,293,,305
Italy,653,,,667,,677
Jamaica,,,,,188,
Jordan,,100,106,115,127,137
Japan,582,581,586,,,595
Kazakhstan,90,96,100,116,139,170
Kenya,17,17,18,,,21.1
Kyrgyz Republic,,,,,,59.1
Kiribati,,,,,,144
South Korea,293,303,311,319,328,338
Kuwait,,397,422,,,502
Lao,57,,,,,20.8
Liberia,,,,,,2.87
Libya,,,,257,,291
Sri Lanka,42,,,51.2,54.7,57.9
Lithuania,375,401,421,467,513,479
Luxembourg,712,718,729,,,512
Latvia,339,329,348,377,415,459
"Macao, China",130,138,147,,,181
Morocco,,59,,,,71
Monaco,,,,,,872
Moldova,81,78,87,94,,120
Maldives,,11,12,,,19.7
Mexico,194,203,200,208,222,244
North Macedonia,163,,,,,136
Mali,,,,,,9.22
Malta,617,633,636,,,558
Myanmar,,5,,5,5.79,7.07
Mongolia,42,43,,,,61.5
Mozambique,,,,,,9.93
Mauritius,116,122,130,,138,150
Malawi,,,,,,8.59
Malaysia,258,272,,,,
Namibia,85,,,,,109
Niger,5,5,5,5,,
Nigeria,,,,,,30.8
Nicaragua,39,42,46,,,47.8
Netherlands,486,,,,,503
Norway,521,525,535,546,,572
Nepal,,,,,,5.27
New Zealand,738,681,701,720,722,729
Oman,,,,,,225
Pakistan,8,,14,,,11.1
Panama,103,,,,,188
Peru,47,47,47,,,51.7
Philippines,35,,,34,,32
Papua New Guinea,,,,,,8.87
Poland,347,357,386,386,416,451
Puerto Rico,,,,,,642
Portugal,,507,,,,
Paraguay,,,,,,82
Palestine,,30,35,36,,16.1
Qatar,508,,,,,724
Romania,,177,185,181,,
Russia,,,,,228,245
Rwanda,,,,,,3.88
Sudan,,,,,,28
Senegal,,,,,,20.4
Singapore,133,133,134,137,141,149
Sierra Leone,4,,,,,5.21
El Salvador,,,,,,83.7
Serbia,,,,,244,223
Sao Tome and Principe,,,,,,2.16
Suriname,,227,238,,,
Slovak Republic,280,288,256,,287,282
Slovenia,484,492,505,518,531,547
Sweden,501,,508,513,516,523
Eswatini,82,84,,,,89
Seychelles,114,121,,,,173
Syria,34.7,36.2,37.6,42.5,47.9,51.5
Chad,,,,,5.84,
Togo,,,,,,1.98
Tajikistan,,,,,,38.2
Turkmenistan,,,,,,106
Trinidad and Tobago,,,,,,351
Tunisia,89,,95,,,103
Turkey,90,91,108,117,124,131
Tanzania,,,,,,11.7
Uganda,,,,,,6.5
Ukraine,135,139,125,128,,140
Uruguay,,,,176,,
United States,,796,808,675,,820
St. Vincent and the Grenadines,126,138,,,,204
Venezuela,,,,,,147
Vietnam,8,,,,,13.5
Samoa,,,,59,,
Yemen,,,,,,34.8
South Africa,144,,136,143,151,159
Zambia,,,,,,17.7
Zimbabwe,,,,,,106
